,Steps,ACC,method
309,1847.868687,0.79,direct
310,1878.161616,0.78,direct
311,1878.161616,0.57,direct
312,1878.161616,0.81,direct
313,1878.161616,0.76,direct
314,1878.161616,0.84,direct
315,1908.454545,0.67,direct
316,1908.454545,0.81,direct
317,1908.454545,0.67,direct
318,1908.454545,0.66,direct
319,1908.454545,0.79,direct
320,1938.747475,0.68,direct
321,1938.747475,0.8,direct
322,1938.747475,0.84,direct
323,1938.747475,0.72,direct
324,1938.747475,0.68,direct
325,1969.040404,0.78,direct
326,1969.040404,0.79,direct
327,1969.040404,0.7,direct
328,1969.040404,0.8,direct
329,1969.040404,0.67,direct
330,1999.333333,0.71,direct
331,1999.333333,0.83,direct
332,1999.333333,0.74,direct
333,1999.333333,0.78,direct
334,1999.333333,0.77,direct
335,2029.626263,0.77,direct
336,2029.626263,0.7,direct
337,2029.626263,0.73,direct
338,2029.626263,0.79,direct
339,2029.626263,0.81,direct
340,2059.919192,0.79,direct
341,2059.919192,0.66,direct
342,2059.919192,0.71,direct
343,2059.919192,0.83,direct
344,2059.919192,0.8,direct
345,2090.212121,0.77,direct
346,2090.212121,0.65,direct
347,2090.212121,0.76,direct
348,2090.212121,0.78,direct
349,2090.212121,0.83,direct
350,2120.505051,0.77,direct
351,2120.505051,0.64,direct
352,2120.505051,0.84,direct
353,2120.505051,0.66,direct
354,2120.505051,0.82,direct
355,2150.79798,0.73,direct
356,2150.79798,0.76,direct
357,2150.79798,0.77,direct
358,2150.79798,0.8,direct
359,2150.79798,0.62,direct
360,2181.090909,0.75,direct
361,2181.090909,0.83,direct
362,2181.090909,0.77,direct
363,2181.090909,0.83,direct
364,2181.090909,0.84,direct
365,2211.383838,0.68,direct
366,2211.383838,0.77,direct
367,2211.383838,0.81,direct
368,2211.383838,0.83,direct
369,2211.383838,0.65,direct
370,2241.676768,0.7,direct
371,2241.676768,0.71,direct
372,2241.676768,0.79,direct
373,2241.676768,0.74,direct
374,2241.676768,0.79,direct
375,2271.969697,0.76,direct
376,2271.969697,0.76,direct
377,2271.969697,0.82,direct
378,2271.969697,0.79,direct
379,2271.969697,0.72,direct
380,2302.262626,0.71,direct
381,2302.262626,0.84,direct
382,2302.262626,0.84,direct
383,2302.262626,0.65,direct
384,2302.262626,0.71,direct
385,2332.555556,0.83,direct
386,2332.555556,0.84,direct
387,2332.555556,0.65,direct
388,2332.555556,0.77,direct
389,2332.555556,0.7,direct
390,2362.848485,0.82,direct
391,2362.848485,0.81,direct
392,2362.848485,0.83,direct
393,2362.848485,0.68,direct
394,2362.848485,0.82,direct
