,time,signal
294,1164.425702811245,0.53
295,1184.5020080321285,0.43
296,1184.5020080321285,0.56
297,1184.5020080321285,0.54
298,1184.5020080321285,0.6
299,1184.5020080321285,0.62
300,1204.578313253012,0.57
301,1204.578313253012,0.63
302,1204.578313253012,0.31
303,1204.578313253012,0.48
304,1204.578313253012,0.63
305,1224.6546184738954,0.5
306,1224.6546184738954,0.55
307,1224.6546184738954,0.58
308,1224.6546184738954,0.33
309,1224.6546184738954,0.58
310,1244.730923694779,0.31
311,1244.730923694779,0.47
312,1244.730923694779,0.57
313,1244.730923694779,0.46
314,1244.730923694779,0.4
315,1264.8072289156626,0.47
316,1264.8072289156626,0.56
317,1264.8072289156626,0.53
318,1264.8072289156626,0.57
319,1264.8072289156626,0.58
320,1284.8835341365461,0.64
321,1284.8835341365461,0.58
322,1284.8835341365461,0.46
323,1284.8835341365461,0.61
324,1284.8835341365461,0.38
325,1304.9598393574297,0.53
326,1304.9598393574297,0.63
327,1304.9598393574297,0.48
328,1304.9598393574297,0.5
329,1304.9598393574297,0.5
330,1325.0361445783133,0.57
331,1325.0361445783133,0.47
332,1325.0361445783133,0.63
333,1325.0361445783133,0.53
334,1325.0361445783133,0.57
335,1345.1124497991968,0.61
336,1345.1124497991968,0.62
337,1345.1124497991968,0.59
338,1345.1124497991968,0.52
339,1345.1124497991968,0.58
340,1365.1887550200802,0.64
341,1365.1887550200802,0.62
342,1365.1887550200802,0.47
343,1365.1887550200802,0.56
344,1365.1887550200802,0.63
345,1385.2650602409637,0.54
346,1385.2650602409637,0.51
347,1385.2650602409637,0.49
348,1385.2650602409637,0.59
349,1385.2650602409637,0.65
350,1405.3413654618473,0.57
351,1405.3413654618473,0.5
352,1405.3413654618473,0.36
353,1405.3413654618473,0.42
354,1405.3413654618473,0.64
355,1425.4176706827309,0.57
356,1425.4176706827309,0.51
357,1425.4176706827309,0.62
358,1425.4176706827309,0.56
359,1425.4176706827309,0.32
360,1445.4939759036145,0.65
361,1445.4939759036145,0.4
362,1445.4939759036145,0.65
363,1445.4939759036145,0.65
364,1445.4939759036145,0.38
365,1465.570281124498,0.4
366,1465.570281124498,0.58
367,1465.570281124498,0.57
368,1465.570281124498,0.6
369,1465.570281124498,0.5
370,1485.6465863453814,0.64
371,1485.6465863453814,0.65
372,1485.6465863453814,0.55
373,1485.6465863453814,0.53
374,1485.6465863453814,0.61
375,1505.722891566265,0.43
376,1505.722891566265,0.56
377,1505.722891566265,0.47
378,1505.722891566265,0.6
379,1505.722891566265,0.64
380,1525.7991967871485,0.52
381,1525.7991967871485,0.61
382,1525.7991967871485,0.45
383,1525.7991967871485,0.58
384,1525.7991967871485,0.62
385,1545.875502008032,0.54
386,1545.875502008032,0.34
387,1545.875502008032,0.61
388,1545.875502008032,0.53
389,1545.875502008032,0.42
390,1565.9518072289156,0.53
391,1565.9518072289156,0.51
392,1565.9518072289156,0.65
393,1565.9518072289156,0.64
394,1565.9518072289156,0.45
395,1586.0281124497992,0.63
396,1586.0281124497992,0.55
397,1586.0281124497992,0.65
398,1586.0281124497992,0.51
399,1586.0281124497992,0.47
400,1606.1044176706828,0.31
401,1606.1044176706828,0.43
402,1606.1044176706828,0.45
403,1606.1044176706828,0.46
404,1606.1044176706828,0.63
405,1626.1807228915661,0.53
406,1626.1807228915661,0.51
407,1626.1807228915661,0.6
408,1626.1807228915661,0.42
409,1626.1807228915661,0.64
410,1646.2570281124497,0.66
411,1646.2570281124497,0.39
412,1646.2570281124497,0.63
413,1646.2570281124497,0.39
414,1646.2570281124497,0.54
415,1666.3333333333333,0.67
416,1666.3333333333333,0.56
417,1666.3333333333333,0.37
418,1666.3333333333333,0.43
419,1666.3333333333333,0.4
420,1686.4096385542168,0.6
421,1686.4096385542168,0.54
422,1686.4096385542168,0.5
423,1686.4096385542168,0.52
424,1686.4096385542168,0.6
425,1706.4859437751004,0.62
426,1706.4859437751004,0.54
427,1706.4859437751004,0.62
428,1706.4859437751004,0.56
429,1706.4859437751004,0.64
430,1726.562248995984,0.44
431,1726.562248995984,0.56
432,1726.562248995984,0.64
433,1726.562248995984,0.66
434,1726.562248995984,0.43
435,1746.6385542168673,0.47
436,1746.6385542168673,0.6
437,1746.6385542168673,0.65
438,1746.6385542168673,0.67
439,1746.6385542168673,0.49
440,1766.7148594377509,0.59
441,1766.7148594377509,0.49
442,1766.7148594377509,0.52
443,1766.7148594377509,0.59
444,1766.7148594377509,0.37
445,1786.7911646586344,0.68
446,1786.7911646586344,0.4
447,1786.7911646586344,0.45
448,1786.7911646586344,0.54
449,1786.7911646586344,0.56
450,1806.867469879518,0.61
451,1806.867469879518,0.64
452,1806.867469879518,0.57
453,1806.867469879518,0.61
454,1806.867469879518,0.48
455,1826.9437751004016,0.56
456,1826.9437751004016,0.52
457,1826.9437751004016,0.43
458,1826.9437751004016,0.45
459,1826.9437751004016,0.67
460,1847.0200803212851,0.55
461,1847.0200803212851,0.61
462,1847.0200803212851,0.6
463,1847.0200803212851,0.66
464,1847.0200803212851,0.54
