,x,y
628,3500.0,1.0
629,3500.0,0.96
630,3520.0,0.92
631,3520.0,0.92
632,3520.0,0.86
633,3520.0,1.0
634,3520.0,0.96
635,3540.0,0.92
636,3540.0,0.92
637,3540.0,0.86
638,3540.0,1.0
639,3540.0,0.96
640,3560.0,0.92
641,3560.0,0.92
642,3560.0,0.86
643,3560.0,1.0
644,3560.0,0.96
645,3580.0,0.92
646,3580.0,0.92
647,3580.0,0.86
648,3580.0,1.0
649,3580.0,0.96
650,3600.0,0.92
651,3600.0,0.92
652,3600.0,0.86
653,3600.0,1.0
654,3600.0,0.96
655,3620.0,0.92
656,3620.0,0.92
657,3620.0,0.86
658,3620.0,1.0
659,3620.0,0.96
660,3640.0,0.92
661,3640.0,0.92
662,3640.0,0.86
663,3640.0,1.0
664,3640.0,0.96
665,3660.0,0.92
666,3660.0,0.92
667,3660.0,0.86
668,3660.0,1.0
669,3660.0,0.96
670,3680.0,0.92
671,3680.0,0.92
672,3680.0,0.86
673,3680.0,1.0
674,3680.0,0.96
675,3700.0,0.92
676,3700.0,0.92
677,3700.0,0.86
678,3700.0,1.0
679,3700.0,0.96
680,3720.0,0.92
681,3720.0,0.92
682,3720.0,0.86
683,3720.0,1.0
684,3720.0,0.96
685,3740.0,0.92
686,3740.0,0.92
687,3740.0,0.86
688,3740.0,1.0
689,3740.0,0.96
690,3760.0,0.92
691,3760.0,0.92
692,3760.0,0.86
693,3760.0,1.0
694,3760.0,0.96
695,3780.0,0.92
696,3780.0,0.92
697,3780.0,0.86
698,3780.0,1.0
699,3780.0,0.96
700,3800.0,0.92
701,3800.0,0.92
702,3800.0,0.86
703,3800.0,1.0
704,3800.0,0.96
705,3820.0,0.92
706,3820.0,0.92
707,3820.0,0.86
708,3820.0,1.0
709,3820.0,0.96
710,3840.0,0.92
711,3840.0,0.92
712,3840.0,0.86
713,3840.0,1.0
714,3840.0,0.96
715,3860.0,0.92
716,3860.0,0.92
717,3860.0,0.86
718,3860.0,1.0
719,3860.0,0.96
720,3880.0,0.92
721,3880.0,0.92
722,3880.0,0.86
723,3880.0,1.0
724,3880.0,0.96
725,3900.0,0.92
726,3900.0,0.92
727,3900.0,0.86
728,3900.0,1.0
729,3900.0,0.96
730,3920.0,0.92
731,3920.0,0.92
732,3920.0,0.86
733,3920.0,1.0
734,3920.0,0.96
735,3940.0,0.92
736,3940.0,0.92
737,3940.0,0.86
738,3940.0,1.0
739,3940.0,0.96
740,3960.0,0.92
741,3960.0,0.92
742,3960.0,0.86
743,3960.0,1.0
744,3960.0,0.96
745,3980.0,0.92
746,3980.0,0.92
747,3980.0,0.86
748,3980.0,1.0
749,3980.0,0.96
750,4000.0,1.0
751,4000.0,0.98
752,4000.0,0.93
753,4000.0,1.0
754,4000.0,0.94
755,4020.0,0.96
756,4020.0,1.0
757,4020.0,0.87
758,4020.0,0.98
759,4020.0,0.97
760,4040.0,0.96
761,4040.0,0.98
762,4040.0,0.91
763,4040.0,0.97
764,4040.0,0.94
765,4060.0,1.0
766,4060.0,1.0
767,4060.0,0.99
768,4060.0,0.98
769,4060.0,0.99
770,4080.0,0.93
771,4080.0,0.96
772,4080.0,0.97
773,4080.0,0.99
774,4080.0,1.0
775,4100.0,1.0
776,4100.0,1.0
777,4100.0,1.0
778,4100.0,1.0
779,4100.0,0.93
780,4120.0,0.91
781,4120.0,1.0
782,4120.0,0.96
783,4120.0,1.0
784,4120.0,0.97
785,4140.0,0.96
786,4140.0,1.0
787,4140.0,0.93
788,4140.0,1.0
789,4140.0,0.96
790,4160.0,0.98
791,4160.0,1.0
792,4160.0,0.94
793,4160.0,1.0
794,4160.0,0.98
795,4180.0,0.92
796,4180.0,0.94
797,4180.0,0.99
798,4180.0,0.99
799,4180.0,0.99
800,4200.0,0.92
801,4200.0,0.98
802,4200.0,0.91
803,4200.0,0.98
804,4200.0,0.99
805,4220.0,0.99
806,4220.0,0.95
807,4220.0,0.86
808,4220.0,0.98
809,4220.0,0.97
810,4240.0,0.98
811,4240.0,0.99
812,4240.0,0.98
813,4240.0,1.0
814,4240.0,1.0
815,4260.0,0.92
816,4260.0,0.91
817,4260.0,0.92
818,4260.0,0.97
819,4260.0,1.0
820,4280.0,0.92
821,4280.0,1.0
822,4280.0,0.89
823,4280.0,0.99
824,4280.0,0.97
825,4300.0,0.99
826,4300.0,0.91
827,4300.0,1.0
828,4300.0,1.0
829,4300.0,0.96
830,4320.0,0.98
831,4320.0,0.9
832,4320.0,0.94
833,4320.0,1.0
834,4320.0,0.98
835,4340.0,0.91
836,4340.0,0.99
837,4340.0,0.91
838,4340.0,0.97
839,4340.0,0.96
840,4360.0,0.97
841,4360.0,1.0
842,4360.0,0.9
843,4360.0,0.99
844,4360.0,0.92
845,4380.0,0.99
846,4380.0,0.98
847,4380.0,0.98
848,4380.0,0.97
849,4380.0,0.95
850,4400.0,0.97
851,4400.0,0.97
852,4400.0,0.93
853,4400.0,0.99
854,4400.0,0.99
855,4420.0,0.94
856,4420.0,0.95
857,4420.0,0.85
858,4420.0,1.0
859,4420.0,0.95
860,4440.0,0.95
861,4440.0,0.95
862,4440.0,0.96
863,4440.0,1.0
864,4440.0,0.95
865,4460.0,0.98
866,4460.0,0.88
867,4460.0,0.89
868,4460.0,0.99
869,4460.0,0.96
870,4480.0,0.99
871,4480.0,1.0
872,4480.0,0.98
873,4480.0,0.98
874,4480.0,1.0
875,4500.0,0.93
876,4500.0,0.96
877,4500.0,0.95
878,4500.0,1.0
879,4500.0,0.99
880,4520.0,1.0
881,4520.0,0.99
882,4520.0,0.89
883,4520.0,0.96
884,4520.0,0.99
885,4540.0,0.94
886,4540.0,0.98
887,4540.0,0.97
888,4540.0,1.0
889,4540.0,0.97
890,4560.0,0.99
891,4560.0,0.97
892,4560.0,0.89
893,4560.0,0.98
894,4560.0,0.98
895,4580.0,0.99
896,4580.0,0.98
897,4580.0,0.87
898,4580.0,0.98
899,4580.0,0.97
900,4600.0,0.99
901,4600.0,0.94
902,4600.0,1.0
903,4600.0,0.98
904,4600.0,0.97
905,4620.0,0.89
906,4620.0,0.91
907,4620.0,0.99
908,4620.0,1.0
909,4620.0,0.95
910,4640.0,1.0
911,4640.0,0.97
912,4640.0,0.95
913,4640.0,0.98
914,4640.0,0.99
915,4660.0,0.99
916,4660.0,0.9
917,4660.0,0.88
918,4660.0,1.0
919,4660.0,1.0
920,4680.0,0.96
921,4680.0,0.99
922,4680.0,0.86
923,4680.0,1.0
924,4680.0,0.97
925,4700.0,0.97
926,4700.0,0.93
927,4700.0,0.93
928,4700.0,1.0
929,4700.0,1.0
930,4720.0,0.98
931,4720.0,0.93
932,4720.0,1.0
933,4720.0,0.98
934,4720.0,0.95
935,4740.0,0.95
936,4740.0,0.94
937,4740.0,0.96
938,4740.0,0.97
939,4740.0,1.0
940,4760.0,1.0
941,4760.0,0.92
