,Steps,ASR,method
527,100.3815261,0.32,bb
528,100.3815261,0.3,bb
529,100.3815261,0.28,bb
530,120.4578313,0.28,bb
531,120.4578313,0.24,bb
532,120.4578313,0.34,bb
533,120.4578313,0.32,bb
534,120.4578313,0.29,bb
535,140.5341365,0.24,bb
536,140.5341365,0.35,bb
537,140.5341365,0.23,bb
538,140.5341365,0.32,bb
539,140.5341365,0.28,bb
540,160.6104418,0.26,bb
541,160.6104418,0.32,bb
542,160.6104418,0.31,bb
543,160.6104418,0.27,bb
544,160.6104418,0.3,bb
545,180.686747,0.37,bb
546,180.686747,0.36,bb
547,180.686747,0.3,bb
548,180.686747,0.36,bb
549,180.686747,0.36,bb
550,200.7630522,0.33,bb
551,200.7630522,0.36,bb
552,200.7630522,0.26,bb
553,200.7630522,0.38,bb
554,200.7630522,0.37,bb
555,220.8393574,0.27,bb
556,220.8393574,0.34,bb
557,220.8393574,0.35,bb
558,220.8393574,0.32,bb
559,220.8393574,0.35,bb
560,240.9156627,0.35,bb
561,240.9156627,0.36,bb
562,240.9156627,0.3,bb
563,240.9156627,0.36,bb
564,240.9156627,0.33,bb
565,260.9919679,0.4,bb
566,260.9919679,0.36,bb
567,260.9919679,0.35,bb
568,260.9919679,0.4,bb
569,260.9919679,0.35,bb
570,281.0682731,0.38,bb
571,281.0682731,0.4,bb
572,281.0682731,0.41,bb
573,281.0682731,0.41,bb
574,281.0682731,0.39,bb
575,301.1445783,0.36,bb
576,301.1445783,0.38,bb
577,301.1445783,0.36,bb
578,301.1445783,0.42,bb
579,301.1445783,0.38,bb
580,321.2208835,0.41,bb
581,321.2208835,0.43,bb
582,321.2208835,0.41,bb
583,321.2208835,0.34,bb
584,321.2208835,0.41,bb
585,341.2971888,0.35,bb
586,341.2971888,0.39,bb
587,341.2971888,0.37,bb
588,341.2971888,0.34,bb
589,341.2971888,0.36,bb
590,361.373494,0.43,bb
591,361.373494,0.42,bb
592,361.373494,0.41,bb
593,361.373494,0.43,bb
594,361.373494,0.37,bb
595,381.4497992,0.39,bb
596,381.4497992,0.42,bb
597,381.4497992,0.45,bb
598,381.4497992,0.41,bb
599,381.4497992,0.36,bb
600,401.5261044,0.44,bb
601,401.5261044,0.46,bb
602,401.5261044,0.4,bb
603,401.5261044,0.41,bb
604,401.5261044,0.37,bb
605,421.6024096,0.46,bb
606,421.6024096,0.43,bb
607,421.6024096,0.46,bb
608,421.6024096,0.47,bb
609,421.6024096,0.43,bb
610,441.6787149,0.36,bb
611,441.6787149,0.4,bb
612,441.6787149,0.42,bb
613,441.6787149,0.47,bb
614,441.6787149,0.36,bb
615,461.7550201,0.44,bb
616,461.7550201,0.44,bb
617,461.7550201,0.47,bb
618,461.7550201,0.45,bb
619,461.7550201,0.46,bb
620,481.8313253,0.37,bb
621,481.8313253,0.46,bb
622,481.8313253,0.47,bb
623,481.8313253,0.45,bb
624,481.8313253,0.49,bb
625,501.9076305,0.48,bb
626,501.9076305,0.44,bb
627,501.9076305,0.44,bb
628,501.9076305,0.39,bb
629,501.9076305,0.44,bb
630,521.9839357,0.46,bb
631,521.9839357,0.49,bb
632,521.9839357,0.44,bb
633,521.9839357,0.5,bb
634,521.9839357,0.45,bb
635,542.060241,0.41,bb
636,542.060241,0.39,bb
637,542.060241,0.45,bb
638,542.060241,0.49,bb
639,542.060241,0.49,bb
640,562.1365462,0.48,bb
641,562.1365462,0.49,bb
642,562.1365462,0.43,bb
643,562.1365462,0.51,bb
644,562.1365462,0.51,bb
645,582.2128514,0.48,bb
646,582.2128514,0.45,bb
647,582.2128514,0.46,bb
648,582.2128514,0.51,bb
649,582.2128514,0.46,bb
650,602.2891566,0.51,bb
651,602.2891566,0.54,bb
652,602.2891566,0.47,bb
653,602.2891566,0.52,bb
654,602.2891566,0.44,bb
655,622.3654618,0.47,bb
656,622.3654618,0.51,bb
657,622.3654618,0.5,bb
658,622.3654618,0.53,bb
659,622.3654618,0.52,bb
660,642.4417671,0.42,bb
661,642.4417671,0.54,bb
662,642.4417671,0.51,bb
663,642.4417671,0.55,bb
664,642.4417671,0.49,bb
665,662.5180723,0.55,bb
666,662.5180723,0.54,bb
667,662.5180723,0.52,bb
668,662.5180723,0.49,bb
669,662.5180723,0.52,bb
670,682.5943775,0.53,bb
671,682.5943775,0.56,bb
672,682.5943775,0.52,bb
673,682.5943775,0.56,bb
674,682.5943775,0.45,bb
675,702.6706827,0.49,bb
676,702.6706827,0.49,bb
677,702.6706827,0.55,bb
678,702.6706827,0.57,bb
679,702.6706827,0.52,bb
680,722.746988,0.57,bb
681,722.746988,0.53,bb
682,722.746988,0.55,bb
683,722.746988,0.45,bb
684,722.746988,0.55,bb
685,742.8232932,0.53,bb
686,742.8232932,0.58,bb
687,742.8232932,0.57,bb
688,742.8232932,0.53,bb
689,742.8232932,0.54,bb
690,762.8995984,0.57,bb
691,762.8995984,0.49,bb
692,762.8995984,0.53,bb
693,762.8995984,0.57,bb
694,762.8995984,0.57,bb
695,782.9759036,0.56,bb
696,782.9759036,0.58,bb
697,782.9759036,0.57,bb
698,782.9759036,0.5,bb
699,782.9759036,0.57,bb
700,803.0522088,0.55,bb
701,803.0522088,0.56,bb
702,803.0522088,0.56,bb
703,803.0522088,0.6,bb
704,803.0522088,0.57,bb
705,823.1285141,0.57,bb
706,823.1285141,0.59,bb
707,823.1285141,0.56,bb
708,823.1285141,0.61,bb
709,823.1285141,0.52,bb
710,843.2048193,0.54,bb
711,843.2048193,0.61,bb
712,843.2048193,0.57,bb
713,843.2048193,0.59,bb
714,843.2048193,0.6,bb
715,863.2811245,0.6,bb
716,863.2811245,0.54,bb
717,863.2811245,0.59,bb
718,863.2811245,0.52,bb
719,863.2811245,0.61,bb
720,883.3574297,0.6,bb
721,883.3574297,0.62,bb
722,883.3574297,0.52,bb
723,883.3574297,0.57,bb
724,883.3574297,0.62,bb
725,903.4337349,0.64,bb
726,903.4337349,0.58,bb
727,903.4337349,0.57,bb
728,903.4337349,0.56,bb
729,903.4337349,0.64,bb
730,923.5100402,0.59,bb
731,923.5100402,0.65,bb
732,923.5100402,0.58,bb
733,923.5100402,0.6,bb
734,923.5100402,0.59,bb
735,943.5863454,0.65,bb
736,943.5863454,0.6,bb
737,943.5863454,0.6,bb
738,943.5863454,0.59,bb
739,943.5863454,0.59,bb
740,963.6626506,0.53,bb
741,963.6626506,0.66,bb
742,963.6626506,0.63,bb
743,963.6626506,0.64,bb
744,963.6626506,0.56,bb
745,983.7389558,0.63,bb
746,983.7389558,0.63,bb
747,983.7389558,0.63,bb
748,983.7389558,0.64,bb
749,983.7389558,0.64,bb
750,1003.815261,0.6,bb
751,1003.815261,0.63,bb
752,1003.815261,0.61,bb
753,1003.815261,0.58,bb
754,1003.815261,0.65,bb
755,1023.891566,0.68,bb
756,1023.891566,0.56,bb
757,1023.891566,0.62,bb
758,1023.891566,0.61,bb
759,1023.891566,0.63,bb
760,1043.967871,0.58,bb
761,1043.967871,0.65,bb
762,1043.967871,0.66,bb
763,1043.967871,0.63,bb
764,1043.967871,0.59,bb
765,1064.044177,0.65,bb
766,1064.044177,0.63,bb
767,1064.044177,0.63,bb
768,1064.044177,0.63,bb
769,1064.044177,0.67,bb
770,1084.120482,0.66,bb
771,1084.120482,0.59,bb
772,1084.120482,0.63,bb
773,1084.120482,0.68,bb
774,1084.120482,0.65,bb
775,1104.196787,0.66,bb
776,1104.196787,0.63,bb
777,1104.196787,0.66,bb
778,1104.196787,0.6,bb
779,1104.196787,0.66,bb
780,1124.273092,0.66,bb
781,1124.273092,0.7,bb
782,1124.273092,0.69,bb
783,1124.273092,0.69,bb
784,1124.273092,0.67,bb
785,1144.349398,0.71,bb
786,1144.349398,0.68,bb
787,1144.349398,0.71,bb
788,1144.349398,0.71,bb
789,1144.349398,0.69,bb
790,1164.425703,0.63,bb
791,1164.425703,0.7,bb
792,1164.425703,0.58,bb
793,1164.425703,0.69,bb
794,1164.425703,0.67,bb
795,1184.502008,0.72,bb
796,1184.502008,0.72,bb
797,1184.502008,0.72,bb
798,1184.502008,0.69,bb
799,1184.502008,0.64,bb
800,1204.578313,0.72,bb
801,1204.578313,0.73,bb
802,1204.578313,0.7,bb
803,1204.578313,0.69,bb
804,1204.578313,0.71,bb
805,1224.654618,0.72,bb
806,1224.654618,0.7,bb
807,1224.654618,0.7,bb
808,1224.654618,0.64,bb
809,1224.654618,0.68,bb
810,1244.730924,0.61,bb
811,1244.730924,0.73,bb
812,1244.730924,0.7,bb
813,1244.730924,0.73,bb
814,1244.730924,0.62,bb
815,1264.807229,0.74,bb
816,1264.807229,0.74,bb
817,1264.807229,0.72,bb
818,1264.807229,0.73,bb
819,1264.807229,0.73,bb
820,1284.883534,0.71,bb
821,1284.883534,0.7,bb
822,1284.883534,0.75,bb
823,1284.883534,0.74,bb
824,1284.883534,0.73,bb
